run_id,pair_id,noise_id,analysis_cell_id,dataset,dataset_version,split,stable_sample_id,bw_ratio,test_snr_db,true_label,pred_label,correct,outage,outage_reason,source_bytes
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,6ee001cd231bcf1e33c3100fad645e14e8c4541d92f7751d199a070613c58c69,8915b1fe4d48975764c3a9589c29d6eca39e88e731f2bd3723eac4f5ef3df7c2,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,004bb6c7ef7ef2b9,r_1_24,18.0,5,5,true,false,,1063
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,bb40478285a3143f852e644a4894abb65872446bf624ca038239db5fc0b0ca3a,91e13a2797ce50f47a34a85e1777fd8726944eda5ef5aee7650bda44696ce4f1,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,0065fd0d6b8f2c0c,r_1_24,18.0,9,9,true,false,,1063
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,32300a8d00db4ffaaf7660e05354081ec733bb5735a0ed77cdf45a3df88798f8,8aedbbc8947f523006ff9dfed6f60a01b966ab8b7073f4092a1909e26ce30dcb,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,008939f1386bd087,r_1_24,18.0,5,5,true,false,,1063
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,fced8e927571eb4309c839206afa602eb14620281ec134f649eaaf1336429f83,3575bd97b24b6c7177449377b4fb6436674bbcd9e2872c953c6c5bcda1034f6f,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,00f9712c8a984786,r_1_24,18.0,0,0,true,false,,1063
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,d12490fffed87ac5777f178fc2276cd5389004821ea53b2010bb945e302ab835,be65e06be420cd662ef41078504b3f880726a032b8cd8b042d87c32400436536,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,01277be5f18c8734,r_1_24,18.0,5,5,true,false,,1063
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,68c231b4ee3ccefc4e1f4105ccd33b9e020f8acf3cf6f2991a4be5cc2767cfaf,82498c551e9d8e83d14f92a3812362f9cac437cd1f1ca289abde5f44a37711c8,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,01cdcea61b01f6a6,r_1_24,18.0,0,0,true,false,,1063
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,fb55a66467c5e01f9a6b9427fcf71076bcabff93b035ccdf1e2396bc864f72f5,97a1675564ca6e596aa808662de60c20f6a3976231dec283e73ab03fd971ff13,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,01f1e697dd528c4d,r_1_24,18.0,4,4,true,false,,1063
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,e26fba24ec92111beceadc30f9ce02ff157fbedf1f939f31a0f35839eb569d23,336fa7c5bd47ef9d500923079062b10b489e32647354237e37dc331596fa2222,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,02a9d024e98bf943,r_1_24,18.0,9,9,true,false,,1063
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,8e95504b1f4279cbd6deaeb40de480b7ab54ac0f3cbaedaf24d2b8562e6b79b7,687fe577363bc6124b4ccf4a26fc56874a9623c3143ac66a7ea86142272e95e8,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,02b1d679e4f50fc4,r_1_24,18.0,2,2,true,false,,1063
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,1eac968c1b93d7748fbbc40ea89aec83a83d567399895af7b7f013e29f577aaf,f9704f03bef41d2295934ba9acb0bd2d6aeac4d9a776612ff704bbaaeae861d3,89b8536409801a93a7261ccda2c614ee2dcba82b002671a663a1e1aa4d94e565,imagenette160,64d0c4859f35a461889e0147755a999a48b49bf38a7e0f9bd27003f10db02fe5,val,030829272995d889,r_1_24,18.0,4,7,false,false,,1063
