stable_sample_id,label,budget_source,budget_bytes,requested_bpp,encode_axis,cache_key,codestream_sha256,emitted_bytes,realized_bpp,search_iterations,feasible,decode_success,predicted_class,correct,clean_predicted_class,clean_correct,psnr,ssim
004bb6c7ef7ef2b9,5,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,c9e59bf1a90c32cf620283180aa357e65e92920a4a2f66030261098bb93e9017,5b0e492bf89352cf64275416ffebd9a26ae604dd672bc24bfb4a9d073fe6de20,645,0.20156250000000001,24,true,true,2,false,5,true,22.444351172133533,0.69079933486835987
0065fd0d6b8f2c0c,9,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,926547159fc169a1aa77fa45e9e72cd7e2c59fc0366dee476a678a8fbcc59636,10dd07bede9cb73a67d6d23330590d3ef8a626feb8a6f8218d09c731b4db3150,662,0.206875,11,true,true,9,true,9,true,33.542787115709601,0.90160734645836016
008939f1386bd087,5,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,923ec73ff5c93249729f42a0f831915d11a56b71f6019b0991d8a5cd403128ec,a75186def005b04f1ca41b31334a9ada516769fe4f13ae35e64dff59d988e067,658,0.205625,11,true,true,5,true,5,true,18.020396970548244,0.55130757409158759
00f9712c8a984786,0,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,a61156b1c2f3b57f46cc0ce3bb753530930ff921c0d1416754f8044b20ab13b8,30b2556e5da2e3a57fa2897858fe7b6667c2c3319d0b8c9e7068840b50a83236,661,0.20656250000000001,11,true,true,0,true,0,true,19.842425202469329,0.53006950623358395
01277be5f18c8734,5,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,49b9762f88920b72b6cd907ce95c40f2d4346054d1258bcb3ab2a534ffd56d8b,4ee48b74f1252968310c70f376aa9fd11c97555fd5d6db3519e982cf7e0c240b,656,0.20499999999999999,11,true,true,5,true,5,true,21.661992828816096,0.60263362635843054
01cdcea61b01f6a6,0,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,70778dce8a03088172afa94c7beaf733914977e7954e645de600ced820ece954,19ddd82b0cce3ead3bf7e78125ab7acfcae73f08f7fa5a60b93aac456385a189,650,0.203125,13,true,true,0,true,0,true,19.566239799669617,0.48854690452694155
01f1e697dd528c4d,4,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,1b9b898c0035b743d043cfe86e22413d8dc88d9c897b81429f579502a69d64a3,c7438063669ce1b6c3664c3bd91803e73d06dd9b02711ee373870544c029ad90,660,0.20624999999999999,11,true,true,4,true,4,true,22.811561639259111,0.52368247408615975
02a9d024e98bf943,9,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,853a33aee9c1c98b7f28a89cb6fce3861b059e845c9c70ee8ef52fa4955080a8,b0e4a4c2e4b20a2c30debe6a4b52035a51e6e25944af3021efb84a17bede6c5b,658,0.205625,11,true,true,9,true,9,true,36.15527733076091,0.95912241596886927
02b1d679e4f50fc4,2,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,475b8b5d4816333542b2bfaa0764889d36fe7f3251a86c63ad3bd1c8cd2e4aaf,214d52ebf0bae602e194e3eb80643528d1177a74bd29e13f7e670bfec04f13cf,649,0.20281250000000001,11,true,true,2,true,2,true,27.222676066970863,0.81780867379421929
030829272995d889,4,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,f05151f49717ae1f303d16404f7e7053a9435b8526a724213ccac0285d323bd2,5be5f4329416759e4587c7690cfa6ec373f9f9248040d97e9d85ad74c4c49fca,650,0.203125,11,true,true,5,false,4,true,24.232544824151418,0.73125263374518579
031b1fa74c3b1518,3,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,03bc5cd9a233d2aed75b1483b648a759868fb454c82900602101ea90115e5500,b013d73bd206b44ff7bfae0a7c8ef08bfc17f4e0c1962f92b1af31b23e4ca415,625,0.1953125,24,true,true,5,false,3,true,20.212906780477748,0.50488609865241441
03432cb357bd7414,3,packetisation:qam16:5/6:r_1_48,663,0.2071875,160,3b5c29bfde0857fadc0e690e60175646fc54d764a5cf4982db978d437f2b51ff,d8068485c256b0fdb7e0f7f3058eca7c247d283b145e59416c6da39337df3f3b,663,0.2071875,11,true,true,3,true,3,true,21.550234135264628,0.71830574540309045
