stable_sample_id,label,split
0002300efad9c63f,2,val
0003ebea39667c8a,3,train
0005bd031a0eee94,9,train
0006b92ad8bff73a,6,train
000701ef822ab493,9,test
000722c76a3dcc03,9,train
000725ac0707e15a,2,test
000807fcf2d47414,4,test
0008912847992dbc,9,train
00091793f15a7990,4,train
000924e3b22a8c03,0,train
0009efa31dd14751,1,train
0009fbbd4913544c,8,train
000bb989d565591d,2,train
000cd68fecd765df,5,train
000d6343aac6d694,9,train
000dc015b9572c55,9,train
000e2db278fa35a2,2,test
0011c2255b1c308c,5,train
0012e0d506cc38af,6,train
00137f9e831c2e7f,9,train
001409174d203e05,6,test
00156b8b701b1d44,4,train
00172a601038737d,7,train
00179780e6fa4fa6,6,train
001867600b4e4ab9,9,test
001988ed275d843a,7,train
001cbf152bd6989d,9,train
001e8cf36742d7e7,0,train
001efa6e61ca67a1,2,train
001f2f27967f9a05,4,train
001f6bf7f7aefae2,4,train
001f9992ee4cc21d,3,train
001fc13da7bcca38,5,train
00211e031448d5f8,9,train
0023125f6187f9ad,3,test
0023578bb4cdc2fe,8,train
0023a38136b7d308,7,train
0024950c3eaf0158,3,test
0025ae4e8ba92c77,6,test
00274f27672de450,2,val
0027bdc2b08013ed,9,train
00286784927d4b46,5,train
002929d106d83c6e,9,train
002a0f861f96a1ad,0,train
002a5e8c0865d8b0,8,train
002b390e900469ed,9,val
002b71b108fcc53e,9,train
002beff3e28c98d3,5,train
002c2d3d0f53e21e,9,train
002cae73826d25e5,5,train
002f22e7c114ca5b,7,test
002f49b3ff057bd8,4,train
0031a2c69109d65a,8,train
0032e5e9fb6a5d6c,1,train
00331ff72d243ea7,0,test
00335c8f934c94d6,3,train
00337c640dc48e3e,6,test
0033fe2022115aa2,2,train
0034c588947153a8,4,test
00361ef276a536e8,6,test
0038073588bbc200,3,train
003a5238c358ac3d,5,test
003aafc668a2284a,4,train
003b25dca9f6cc76,5,train
003b7b1dad463030,1,train
003bbce3841f6ae7,9,train
003c14296b658e35,1,train
003c64325841238b,4,test
003e4dc76432a8af,9,train
003ec56b39d95748,4,train
0042d245aa7ceac0,4,val
0047e593fc9535f3,4,train
004858acf1e1e731,5,test
00495db93263c6ff,4,train
0049ea5b47c275a3,4,train
004ad9c61643c705,5,train
004b5edd57058a9d,2,train
004be394a6640246,9,train
004bfa40d2b31b8b,9,train
004c5d224a3d97ca,8,train
004e267d1835df7e,2,train
004ebee25c1d56a5,1,train
00500d09c682e600,1,train
00506a4dec757dc8,5,train
0050ef9d82901c7f,1,train
005111b45e53d0b4,6,train
00516f53c75ec079,1,test
00517f9f5346d76a,7,train
005199e71c1d8370,4,test
0052daf93da5a694,8,train
0053cf78695a31ac,6,train
0054371b97aa9c51,4,train
00547895545efb4c,8,train
0054d080d875918b,7,train
00558e2560faf1a6,5,train
0057660bc0d983a6,3,train
00576752ceb426dc,8,train
005843dbb4b5a2ce,4,train
005e88c908f89ef7,9,train
005ecaae2e63b2da,6,train
005f891882fcb47d,4,train
0062c4be73c7ab4a,7,train
006302760c17db6b,3,train
00634286a465842d,1,train
0065b17fced96229,2,train
006632f7bf747703,2,test
00665992a23b6c84,4,val
0066b54d43de6210,7,train
0066cf6184c4fd2a,0,test
00672a3b32e69315,8,train
006752f116f6386e,4,train
00685487caf5a98c,1,train
0068653549f7121d,2,train
0069cbd8050393c1,5,train
006ae0c031062b54,9,train
006dbce923f15465,9,train
006dd33794c92402,5,train
006e0e3a32b230a5,2,test
006e83a4d1206728,3,train
006f35f1d75bc303,1,test
006f8504487a9eb6,1,train
00722e682633c486,6,val
007680119839b081,5,val
007736959079cb7f,4,train
00783333c76dca48,3,train
00786e3abc9708fa,8,train
007a78dddcfae648,9,train
007bfc46af33b78d,6,train
007cb936f06ee137,3,train
007ddbde94ddde60,6,train
00806a301116996f,2,train
0081db7f5bc856e8,2,train
0082a26193927a03,6,train
008404ca0114ff11,9,train
0084f1a7aa3be433,9,train
00850b1cb42f30b7,3,train
00878ff55b3688f4,0,train
008a93f98881aef8,2,test
008f328716bf00ac,7,train
008f7dfd01447b09,8,test
0090631df369f349,9,test
0091743cc21b4edf,8,test
00921a3d28ff5125,1,train
00947d17bf9332a9,8,train
009487717010472f,5,test
0098ef04611c0da8,6,train
009960081ad52663,5,test
009bb42ebe4a741e,4,train
009cfe2209b5d143,0,train
009ea101bdacbfbc,3,val
009f05f9b3bbba74,5,train
009f5258ece37aff,2,train
00a334df5e0fd8af,9,val
00a34a94f89d22ad,5,test
00a52c275a424aaa,6,train
00a66240e0f09c39,3,train
00a81c054a7a6617,5,train
00a89d92b1008461,0,train
00a8b1435a113322,5,test
00ab25c4e37ff168,4,train
00ac7e02687fd61b,9,train
00aebd21278549dc,2,train
00b2143d9eeaddb7,1,train
00b243d2f2947a8c,5,train
00b2a5a7ab88a10a,1,train
00b2a7450a76044b,1,test
00b2eb94c2d88d81,7,train
00b4babc9ff48ad1,5,train
00b4f37205cb96aa,0,train
00b5094477025682,3,val
00b509d271aacfc3,9,train
00b592c038bd451f,3,train
00b63dd8cf3ad82e,2,test
00b7c1fd3caa1781,4,train
00b9f95979240d73,4,train
00b9fd700f38e084,8,train
00ba7bb9ac0ff320,5,test
00beb4baac09c4d8,9,train
00beb74cd5e158f0,9,train
00c026f911d0a4c3,9,train
00c178944a944a13,1,train
00c2072f18c76bb0,0,train
00c224f66b3e8154,8,train
00c325b8ba3c3330,2,train
00c3fbe09b19a216,4,train
00c4f80866d49cab,6,train
00c652786b6f2b01,2,train
00c73b6940e22e08,7,test
00c7736d976b5802,6,test
00c9f0f3ab419dc6,5,train
00ca3719a16863a1,9,train
00ca3f91f1fab4ac,9,test
00ca9fef842f9bd4,8,val
00cc3dea82c8b32e,5,test
00ccc2bfd02960f8,7,train
00cd4440401663ea,7,test
00cd8a1369c8abaf,5,test
00ce3455981c16b9,9,train
00ce630ab974d45e,4,train
00ce86d165498f25,2,train
00cee4f303eab1d9,2,val
00d005bec748b7b9,8,train
00d0e9c566085dc2,0,train
00d19bea371fac9c,6,train
00d1bb6d1c087fd4,4,train
00d2d0bbb8fd2f9c,6,train
00d540c98a78abcc,9,train
00d607e3a62dd814,6,train
00d64c0143e532e9,1,train
00d88cb8f528aeba,7,train
00d9e1e378e9aea9,3,train
00da9147d100042e,1,train
00daa6ca3ebd53d5,1,train
00db22b1c0c2af16,9,train
00dbd6ad5a0bdd90,2,train
00ddb87f391f43ab,5,train
00ddbed639eaeda9,6,train
00de803e47591228,3,train
00de82be2a96960f,3,train
00deef65041bd0e5,7,train
00df907784b11e6c,0,val
00e0975560c22918,7,test
00e23be2de02fc26,7,train
00e2e9cc1095ed33,5,train
00e3bf45bbcf3b36,3,train
00e46e2535684755,3,train
00e568ef2cfa2069,6,train
00e5c094facc5792,0,train
00e721c4bd49765d,2,train
00e8ae129a446ee9,1,train
00e94b253ea7c7f4,1,train
00eca054f94d1652,6,train
00ee3b7062c062b0,4,train
00f01d8fabdfc035,5,train
00f32ffcf37ef746,2,train
00f5762920a5843c,3,train
00f600f6908458e1,8,test
00f9e349e72a673f,4,train
00f9e7fb0a78de39,5,test
00f9f7e15f5e10c8,6,train
00fa268cf83184db,5,train
00fae4586fd689cb,5,train
00fd322397c80336,2,test
00fd3b728d689fff,3,train
00fdd4bc234ca9e5,7,train
00fde231044c71ba,5,train
00ffb24cdc9a365e,4,val
010170924a4e649a,3,train
0103a18b8608d198,9,train
0103e99861955e72,4,train
0104abd25757f8bd,8,test
0106bd4c121d1018,1,val
0106f8847aa78bc2,1,val
010a40e82bee146a,9,test
010a9f82eebfbaf9,4,train
010b16d44a594465,7,train
010b6846c6393eb8,6,train
010b9304327cca4c,9,train
010c1b3f3fed436d,8,train
010cb2d22c011420,3,train
010e2cbf1ebf8da5,9,train
010e30c3e1887050,7,train
010ef68ada1c928a,4,train
010f9bd349e1542a,1,train
01107df177bdf2a8,5,train
01126fee74011c77,4,test
01140aaf878e4182,2,train
0116945d9cf43359,1,train
0117000bd2d0b0cb,8,train
011b3e1e91a33414,9,train
011bef37c0f3f689,6,train
011d11401e72d725,9,train
011d32503daf6346,1,train
011d7a1a8423e91c,7,train
011fa8a23fb38682,9,train
011fb55f4a784efd,6,test
01203a94a7396f87,9,val
0120c2d96c604b1a,0,train
012236b61ec05e6d,6,test
01228566f96ea4b1,2,train
01229ce74378f7c9,5,train
0122f755fb5ec470,4,train
012439783df05895,5,train
0125096d5176c429,8,test
0125cbaee58221be,5,train
012613979b12950a,5,train
0126f3229b00df80,0,train
0127cc2b68376dc9,8,train
0128091e2decb3eb,7,val
0128dd5b4a93855b,5,train
0129384aa08059f8,2,test
012a9feec48661a3,8,train
012af081b8a97ab1,5,train
012ba2e067e1b64e,7,train
012dad4ae7292b3d,3,train
012df7ce4daaac8f,6,val
012eb4ef2bcd0291,2,test
012ed551375cdd25,2,train
0130742363a31a5c,7,test
01344c75679a523a,4,train
0134db6325f1a98d,4,val
013690e7c7a44b22,1,train
01381ab7160b8b60,4,test
01382b8ce27fa9ce,8,train
013a08890baf43b6,8,train
013a1de44c0e59ab,6,train
013b6de5bb86edfc,7,train
013c06427563ebc5,2,train
013c793ea1352eb4,7,train
013c886f956b0241,8,train
013cba1187a93461,1,train
013cf6b974001ccb,7,test
013cfc298923f798,0,train
0140a5528abed94e,7,train
01410c8143d278b5,1,val
01423c6af47ba341,5,train
0143abb9355a7ab7,8,train
014613f8d9392a3a,8,train
0146adbf0f830e42,8,test
0146cf4aa0b0749c,6,train
0147b0ca1619a37a,4,test
01485a1e67f64b4e,7,train
01493c81297af59f,8,train
0149a145a9a95d5b,1,train
0149a783defe49a3,1,test
014a9b0f5fcd6595,6,train
